Season,RoundNumber,HomeTeam,AwayTeam,CoachesVotes,Player,Team,Player_Cleaned_Name,Date,Match_id
2012,1,Port Adelaide,St Kilda,1.0,Kane Cornes,Port Adelaide,K_Cornes,2012-04-01,5351
2012,1,Port Adelaide,St Kilda,1.0,Dean Polo,St Kilda,D_Polo,2012-04-01,5351
2012,2,Brisbane,Carlton,10.0,Marc Murphy,Carlton,M_Murphy,2012-04-05,5352
2012,2,Brisbane,Carlton,8.0,Chris Judd,Carlton,C_Judd,2012-04-05,5352
2012,2,Brisbane,Carlton,4.0,Andrew Carrazzo,Carlton,A_Carrazzo,2012-04-05,5352
2012,2,Brisbane,Carlton,3.0,Kade Simpson,Carlton,K_Simpson,2012-04-05,5352
2012,2,Brisbane,Carlton,3.0,Jarrad Waite,Carlton,J_Waite,2012-04-05,5352
2012,2,Brisbane,Carlton,2.0,Chris Yarran,Carlton,C_Yarran,2012-04-05,5352
2012,2,Essendon,Port Adelaide,10.0,Paddy Ryder,Essendon,P_Ryder,2012-04-07,5353
2012,2,Essendon,Port Adelaide,7.0,Brent Stanton,Essendon,B_Stanton,2012-04-07,5353
2012,2,Essendon,Port Adelaide,4.0,Dustin Fletcher,Essendon,D_Fletcher,2012-04-07,5353
2012,2,Essendon,Port Adelaide,3.0,Courtenay Dempsey,Essendon,C_Dempsey,2012-04-07,5353
2012,2,Essendon,Port Adelaide,2.0,Kane Cornes,Port Adelaide,K_Cornes,2012-04-07,5353
2012,2,Essendon,Port Adelaide,2.0,Jobe Watson,Essendon,J_Watson,2012-04-07,5353
2012,2,Essendon,Port Adelaide,1.0,Ben Howlett,Essendon,B_Howlett,2012-04-07,5353
2012,2,Essendon,Port Adelaide,1.0,Jay Schulz,Port Adelaide,J_Schulz,2012-04-07,5353
2012,2,Sydney,Fremantle,10.0,Josh Kennedy,Sydney,J_Kennedy,2012-04-07,5354
2012,2,Sydney,Fremantle,8.0,Nick Malceski,Sydney,N_Malceski,2012-04-07,5354
2012,2,Sydney,Fremantle,5.0,Aaron Sandilands,Fremantle,A_Sandilands,2012-04-07,5354
2012,2,Sydney,Fremantle,3.0,Jarrad McVeigh,Sydney,J_Mcveigh,2012-04-07,5354
2012,2,Sydney,Fremantle,2.0,Nathan Fyfe,Fremantle,N_Fyfe,2012-04-07,5354
2012,2,Sydney,Fremantle,2.0,Alexander Johnson,Sydney,A_Johnson,2012-04-07,5354
2012,2,West Coast,Melbourne,10.0,Scott Selwood,West Coast,S_Selwood,2012-04-07,5355
2012,2,West Coast,Melbourne,7.0,Andrew Gaff,West Coast,A_Gaff,2012-04-07,5355
2012,2,West Coast,Melbourne,5.0,Jack Darling,West Coast,J_Darling,2012-04-07,5355
2012,2,West Coast,Melbourne,4.0,Beau Waters,West Coast,B_Waters,2012-04-07,5355
2012,2,West Coast,Melbourne,2.0,Luke Shuey,West Coast,L_Shuey,2012-04-07,5355
2012,2,West Coast,Melbourne,2.0,Josh Hill,West Coast,J_Hill,2012-04-07,5355
2012,2,Adelaide,Western Bulldogs,9.0,Scott Thompson,Adelaide,S_Thompson,2012-04-07,5356
2012,2,Adelaide,Western Bulldogs,8.0,Matthew Boyd,Western Bulldogs,M_Boyd,2012-04-07,5356
2012,2,Adelaide,Western Bulldogs,7.0,Brent Reilly,Adelaide,B_Reilly,2012-04-07,5356
2012,2,Adelaide,Western Bulldogs,4.0,Ryan Griffen,Western Bulldogs,R_Griffen,2012-04-07,5356
2012,2,Adelaide,Western Bulldogs,1.0,Lukas Markovic,Western Bulldogs,L_Markovic,2012-04-07,5356
2012,2,Adelaide,Western Bulldogs,1.0,Taylor Walker,Adelaide,T_Walker,2012-04-07,5356
2012,2,Collingwood,Richmond,10.0,Ben Reid,Collingwood,B_Reid,2012-04-07,5357
2012,2,Collingwood,Richmond,7.0,Brett Deledio,Richmond,B_Deledio,2012-04-07,5357
2012,2,Collingwood,Richmond,7.0,Scott Pendlebury,Collingwood,S_Pendlebury,2012-04-07,5357
2012,2,Collingwood,Richmond,2.0,Trent Cotchin,Richmond,T_Cotchin,2012-04-07,5357
2012,2,Collingwood,Richmond,2.0,Steele Sidebottom,Collingwood,S_Sidebottom,2012-04-07,5357
